# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\Mauro\Developer\Workspace\Quartus\midi-sequencer\vhd\src\midi-sequencer.csv
# Generated on: Tue Sep 11 20:14:19 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
i_btn_down,Input,PIN_AA15,3B,B3B_N0,,,,,,,,,,,,,
i_btn_left,Input,PIN_Y16,3B,B3B_N0,,,,,,,,,,,,,
i_btn_right,Input,PIN_AA14,3B,B3B_N0,,,,,,,,,,,,,
i_btn_up,Input,PIN_W15,3B,B3B_N0,,,,,,,,,,,,,
i_clk,Input,PIN_AF14,3B,B3B_N0,,,,,,,,,,,,,
i_mem_data[31],Input,,,,,,,,,,,,,,,,
i_mem_data[30],Input,,,,,,,,,,,,,,,,
i_mem_data[29],Input,,,,,,,,,,,,,,,,
i_mem_data[28],Input,,,,,,,,,,,,,,,,
i_mem_data[27],Input,,,,,,,,,,,,,,,,
i_mem_data[26],Input,,,,,,,,,,,,,,,,
i_mem_data[25],Input,,,,,,,,,,,,,,,,
i_mem_data[24],Input,,,,,,,,,,,,,,,,
i_mem_data[23],Input,,,,,,,,,,,,,,,,
i_mem_data[22],Input,,,,,,,,,,,,,,,,
i_mem_data[21],Input,,,,,,,,,,,,,,,,
i_mem_data[20],Input,,,,,,,,,,,,,,,,
i_mem_data[19],Input,,,,,,,,,,,,,,,,
i_mem_data[18],Input,,,,,,,,,,,,,,,,
i_mem_data[17],Input,,,,,,,,,,,,,,,,
i_mem_data[16],Input,,,,,,,,,,,,,,,,
i_mem_data[15],Input,,,,,,,,,,,,,,,,
i_mem_data[14],Input,,,,,,,,,,,,,,,,
i_mem_data[13],Input,,,,,,,,,,,,,,,,
i_mem_data[12],Input,,,,,,,,,,,,,,,,
i_mem_data[11],Input,,,,,,,,,,,,,,,,
i_mem_data[10],Input,,,,,,,,,,,,,,,,
i_mem_data[9],Input,,,,,,,,,,,,,,,,
