# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\Mauro\Developer\Workspace\Quartus\midi-sequencer\pin_assignment_de1_soc.csv
# Generated on: Sun Sep 16 21:54:57 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
i_btn_down,Input,PIN_AA15,3B,B3B_N0,,,,,,,,,,,,,
i_btn_left,Input,PIN_Y16,3B,B3B_N0,,,,,,,,,,,,,
i_btn_right,Input,PIN_AA14,3B,B3B_N0,,,,,,,,,,,,,
i_btn_up,Input,PIN_W15,3B,B3B_N0,,,,,,,,,,,,,
i_clk,Input,PIN_AF14,3B,B3B_N0,,,,,,,,,,,,,
i_midi_in,Input,PIN_AA21,4A,B4A_N0,,,,,,,,,,,,,
i_reset_n,Input,PIN_AE12,3A,B3A_N0,,,,,,,,,,,,,
i_tr_mute[7],Input,PIN_AC9,3A,B3A_N0,,,,,,,,,,,,,
i_tr_mute[6],Input,PIN_AE11,3A,B3A_N0,,,,,,,,,,,,,
i_tr_mute[5],Input,PIN_AD12,3A,B3A_N0,,,,,,,,,,,,,
i_tr_mute[4],Input,PIN_AD11,3A,B3A_N0,,,,,,,,,,,,,
i_tr_mute[3],Input,PIN_AF10,3A,B3A_N0,,,,,,,,,,,,,
i_tr_mute[2],Input,PIN_AF9,3A,B3A_N0,,,,,,,,,,,,,
i_tr_mute[1],Input,PIN_AC12,3A,B3A_N0,,,,,,,,,,,,,
i_tr_mute[0],Input,PIN_AB12,3A,B3A_N0,,,,,,,,,,,,,
o_clip,Output,PIN_Y21,5A,B5A_N0,,,,,,,,,,,,,
o_dac_out_l[7],Output,PIN_AJ19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,
o_dac_out_l[6],Output,PIN_AK19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,
o_dac_out_l[5],Output,PIN_AK18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,
